QuestIndex,ObjectIndex,TalkKey,TalkData,TalkDelay,PortraitNum,SelectionKey,AcquiredItemKey,DisplayEnableItemKey,CutsceneKey,EndingKey,EffectSoundKey
10,1,11,그 이후/ 나는 술을 다시 마시기 시작했다.,,,,,,,,
,,,가지런히 정돈되어 있던 방은 금세 너저분해지고 술병이 쌓여만 갔다.,,,,,,,,
,,,노력을 하지 않는 건 아니었다.,,,,,,,,
,,,다시 집 밖으로 나가보려고 해보았다.,,,,,,,,
,,,현관문으로 가보자,,,,,,,,
10,2,12,(문고리를 잡는다),,,,,,,,
,,,… …,,,,,,,,
,,,나가는 순간 우리가 가상현실 속에서 겪었던/,,,,,,,,
,,,저 문 너머로 함께 나아갔던 모든 발자국들과 기억들은 결국 거짓일 뿐이라는 걸 인정하게 되는 게 두려웠다.,,,,,,,,
,,,(애처롭게 떨리는 손을 살며시 내려놓는다),,,,,,,,
,,,현관문 앞에 멍하니 서있기를 참으로 많이도 반복했다.,,,,,,,,
,,,손에 힘을 주어 문을 여는 순간 우리라는 단어가 사라질 것만 같았다.,,,,,,,,
20,1,21,기기를 내려놓은 날 이후로/ 나는 매일 끝없이 가라앉고 있다.,,,,,,,,
,,,침대에서 울며 지독한 슬픔에 말라가고 있을 땐,,,,,,,,
,,,온 세상이 고요한 물로 변한 채 그 속으로 끝까지 가라앉아 없어져버리고 싶었는데,,,,,,,,
,,,마찬가지로 가라앉고 있었지만/ 끝은 없었다.,,,,,,,,
,,,많은 일이 있었던 것처럼 느꼈지만/ 여전히 바뀐 것은 없었다.,,,,,,,,
,,,다시 처음 그 날처럼,,,,,,,,
,,,악몽같은 날이 반복될 뿐이었다.,,,,,,,,
,,,여전히 나는 혼자였다.,,,,,,,,
30,1,31,몇 번이고 그가 기다리고 있을 가상현실 기기를 잡았다가 다시 내려놓았다.,,,,,,,,
,,,혹시 요 며칠 찾아가지 않아 그가 화난 것은 아닐까.,,,,,,,,
,,,서운해 하지는 않을까.,,,,,,,,
,,,그랬으면 좋겠다.,,,,,,,,
,,,그런 말도 안 되는 생각을 하는 스스로가 어이가 없어 실소가 터져 나왔다.,,,,,,,,
,,,모든 것이 다 가짜.,,,,,,,,
,,,그도/ 그와 함께한 시간들도 다 가짜다.,,,,,,,,
,,,한낱 데이터 쪼가리일 뿐이다.,,,,,,,,
,,,그는 죽었다.,,,,,,,,
,,,나 때문에.,,,,,,,,
,,,내가 그를 죽인것이다.,,,,,,,,
,,,그리고/,,,,,,,,
,,,내가 매일 만나는 것이라 생각했던 행복한 시간들이 반복될수록,,,,,,,,
,,,그 안에서 그는 매일같이 죽었다.,,,,,,,,
,,,그저 내가 원했기 때문에 반복할 뿐이었다.,,,,,,,,
,,,현실이 아니더라도/ 기억 속에 남아있는 가상이라도,,,,,,,,
,,,그 안에서라도 그가 나 때문에 더 이상 힘들어하지 않았으면 한다.,,,,,,,,
,,,이제 그만해야 할 때가 온 것 같다.,,,,,,,,
,,,우리가,,,,,,,,
,,,그리고 한 사람의 삶이,,,,,,,,
,,,하나의 이야기가 완전한 종막을 맞이했다는 사실을,,,,,,,,
,,,이제 나는 인정해야 한다.,,,,,,,,
,,,그를 만나러 가자,,,,,,,,
40,1,41,이제 그만 인정하자.,,,,,,,,
,,,그는 이 안에 있지 않아.,,,,,,,,
40,2,42,미안해…,,,,,,,,
,,,많이 기다렸지,,,,,,,,
,,,손가락에 힘을 주어 단지를 들어올렸다.,,,,,,,,
,,,차갑다.,,,,,,,,
,,,가상 현실에서의 그는 따뜻하고 활력이 넘쳤는데/,,,,,,,,
,,,작은 단지는 그 모든 걸 부정하듯 차갑기만 했다..,,,,,,,,
,,,나는 그저 차갑고 좁은 공간에 그를 내팽개쳐 두고 있었다.,,,,,,,,
,,,대체 그가 어딜 가버린 걸까 그토록 궁금했는데,,,,,,,,
,,,그는 내 옆에 있었다.,,,,,,,,
,,,그는 처음부터 내 옆에 있었다.,,,,,,,,
,,,눈 앞의 현실을 부정한 채로,,,,,,,,
,,,아파하는 사랑을 외면했던 건,,,,,,,,
,,,바로 나였다.,,,,,,,,
,,,내가 그를 죽였다.,,,,,,,,
,,,그리고 죽였다.,,,,,,,,
,,,나에게 그토록 소중했던 아끼는 그를,,,,,,,,
,,,가지 말라고 소리치며 고함치던 내가,,,,,,,,
,,,이제는 보내줘야 한다.,,,,,,,,
,,,사랑하니까.,,,,,,,,
,,,(단지를 그의 뺨을 어루만지듯 조심히 내려놓는다),,,,,,,,
,,,그리고 그의 기억도 보내줘야겠지.,,,,,,,,
50,1,51,그가 나를 떠난 이유는 끝끝내 알아내지 못했지만 이제 그런 건 중요하지 않다.,,,,,,,,
,,,못난 나에게서 벗어나 이제부터라도 자유로운 항해를 이어나갈 수 있도록/,,,,,,,,
,,,모든 그를 이 세상에 다시 흘려 보내주어야 한다.,,,,,,,,
,,,(메모리칩에 손가락을 가져다가 댄다),,,,,,,,
,,,… …,,,,,,,,
,,,… …,,,,,,,,
,,,… …,,,,,,,,
,,,철컥,,,,,,,,
60,1,61,마지막으로 한 번만.,,,,,,,,
,,,이기적이라는 건 알고 있다.,,,,,,,,
,,,비록 모든 게 가짜일 테지만 현실에서 전하지 못한 작별인사를 제대로 전하고 싶어졌다.,,,,,,,,
,,,그가 좋아하던 해맑은 미소로 잘 가라며 이야기하고 싶다.,,,,,,,,
,,,현실을 외면하기 위한 일탈이 아닌/,,,,,,,,
,,,이제 모든 걸 똑바로 마주하기 위한 마지막 한 걸음이 될 것이다.,,,,,,,,
